ID;Brand;Price
281;Lexus;51960
282;Kia;66227
283;Jaguar;64981
284;Lexus;66102
285;Mercedes-Benz;64188
286;Audi;23848
287;Subaru;16240
288;Mazda;74161
289;Honda;60194
290;Lexus;56374
291;Mazda;45929
292;BMW;28960
293;Hyundai;76350
294;Mercedes-Benz;48986
295;Toyota;7247
296;Porsche;45492
297;Toyota;13805
298;Chevrolet;66879
299;Honda;33930
300;Porsche;68960
301;Subaru;76597
302;Tesla;66975
303;Land Rover;12852
304;Land Rover;34265
305;Volkswagen;69300
306;Chevrolet;76230
307;Audi;60498
308;Volkswagen;64123
309;Mazda;59960
310;BMW;71868
311;Volvo;21028
312;Kia;69431
313;Honda;71528
314;Tesla;37461
315;Porsche;30035
316;Jeep;25858
317;Tesla;74264
318;Chevrolet;33386
319;Hyundai;9462
320;Nissan;31443
321;BMW;11973
322;Jeep;59485
323;Nissan;8362
324;Mercedes-Benz;69240
325;Audi;57333
326;Honda;29469
327;Toyota;67951
328;Mercedes-Benz;51374
329;Jaguar;51742
330;Jaguar;38997
331;Jaguar;32342
332;Nissan;23936
333;Mazda;31990
334;Tesla;77858
335;Volkswagen;52180
336;Audi;48352
337;Jeep;50992
338;Nissan;77697
339;Jaguar;63969
340;Jeep;31298
341;Nissan;9956
342;Audi;51139
343;Ford;14292
344;Jeep;64281
345;Hyundai;71618
346;Honda;56441
347;Jeep;68956
348;BMW;79679
349;Subaru;21216
350;Volvo;18526
351;Lexus;9816
352;Nissan;8718
353;Chevrolet;62661
354;Mercedes-Benz;6712
355;BMW;15226
356;Volvo;76670
357;Toyota;21631
358;Volvo;24533
359;Chevrolet;23151
360;Jaguar;34485
361;Hyundai;77418
362;Subaru;63512
363;Jeep;54521
364;BMW;74819
365;Land Rover;18298
366;BMW;10553
367;Nissan;71107
368;Audi;45772
369;Volkswagen;55187
370;Nissan;42310
371;Subaru;34690
372;Honda;8067
373;Honda;76727
374;Tesla;29911
375;Hyundai;12272
376;Chevrolet;5694
377;Hyundai;37144
378;Land Rover;65032
379;Jeep;28629
380;Mazda;15009
381;Lexus;17154
382;Lexus;79621
383;Audi;41105
384;Ford;13863
385;Audi;49601
386;Volkswagen;36273
387;Land Rover;73586
388;Jeep;62927
389;Audi;12479
390;Ford;52499
391;BMW;50508
392;Honda;54750
393;Jeep;49783
394;Land Rover;66072
395;Ford;75295
396;Porsche;19103
397;Ford;27435
398;Lexus;11063
399;Mazda;19801
400;Porsche;35852
401;Jeep;57599
402;Ford;65438
403;Chevrolet;20904
404;Honda;25450
405;Lexus;69281
406;Tesla;38819
407;Tesla;14793
408;Mazda;66515
409;Audi;39225
410;Honda;39245
411;Jaguar;12071
412;Porsche;19197
413;Land Rover;26439
414;Nissan;27832
415;Nissan;16827
416;Ford;40721
417;Land Rover;25444
418;Jeep;20508
419;Land Rover;62234
420;Tesla;26274
421;Porsche;57026
422;Audi;51575
423;Mazda;16751
424;Lexus;39985
425;Nissan;8609
426;BMW;37149
427;Mazda;21040
428;Ford;60746
429;Volvo;32469
430;BMW;34699
431;Honda;7361
432;Toyota;34791
433;Audi;10946
434;BMW;22610
435;Porsche;59491
436;Tesla;43633
437;Volvo;57750
438;Porsche;25220
439;BMW;43015
440;Chevrolet;37507
441;Nissan;11127
442;Volkswagen;8786
443;Toyota;68352
444;Kia;30216
445;Toyota;60020
446;Jeep;16224
447;Subaru;61901
448;Lexus;25975
449;BMW;79958
450;Nissan;36613
451;Volkswagen;52641
452;Lexus;55027
453;Jaguar;40160
454;Porsche;79682
455;Subaru;41695
456;Ford;24536
457;BMW;39711
458;Mazda;42932
459;Chevrolet;18765
460;Tesla;14297
461;Jeep;10415
462;BMW;77997
463;Nissan;73708
464;Honda;9679
465;BMW;70754
466;Lexus;8952
467;Kia;33733
468;Ford;56418
469;Mercedes-Benz;57625
470;Land Rover;28025
471;Land Rover;35927
472;Mazda;69662
473;Nissan;55518
474;Lexus;52998
475;Lexus;65413
476;Volkswagen;13200
477;Tesla;38218
478;Jaguar;70564
479;Hyundai;21553
480;BMW;69801
481;Hyundai;5737
482;Mercedes-Benz;48475
483;Jaguar;73716
484;Jaguar;60578
485;Volvo;11142
486;Chevrolet;48002
487;Porsche;30128
488;Toyota;63146
489;Porsche;18212
490;Lexus;38846
491;Tesla;74696
492;Jeep;8286
493;Land Rover;15522
494;Land Rover;52700
495;Nissan;19764
496;Honda;28334
497;Toyota;16593
498;Kia;34780
499;Mazda;14980
500;Hyundai;27343
501;Chevrolet;15814
502;Tesla;68486
503;Honda;27986
504;Nissan;6545
505;Kia;59500
506;Audi;7444
507;Mazda;65036
508;Mazda;6116
509;Mercedes-Benz;5615
510;Kia;10960
511;Lexus;9281
512;Land Rover;42796
513;Kia;69648
514;Tesla;12386
515;Chevrolet;25835
516;Volvo;64680
517;Tesla;77488
518;Volvo;29405
519;Jaguar;20159
520;Volkswagen;52144
521;Mazda;48223
522;Jeep;58446
523;Hyundai;74313
524;Chevrolet;37374
525;Mercedes-Benz;70077
526;Mercedes-Benz;58522
527;Ford;17595
528;Land Rover;15681
529;Mercedes-Benz;78935
530;Volkswagen;79609
531;Mercedes-Benz;59401
532;Toyota;23743
533;Land Rover;9844
534;Chevrolet;66820
535;Lexus;39286
536;Mazda;38043
537;Volvo;10135
538;Jaguar;76075
539;Chevrolet;52776
540;Mazda;33535
541;Honda;25556
542;Toyota;26718
543;Jaguar;73544
544;Chevrolet;10672
545;Audi;39598
546;Volkswagen;78731
547;Mazda;12054
548;Jeep;18485
549;Lexus;55486
550;Jeep;30882
551;Toyota;72829
552;Mazda;73889
553;Volvo;68083
554;Jaguar;8161
555;Lexus;35084
556;Tesla;46858
557;Volvo;70135
558;Toyota;28798
559;BMW;69029
560;Audi;8003
561;BMW;23234
562;Volkswagen;32144
563;Kia;21624
564;Volkswagen;52104
565;Subaru;65980
566;Audi;27081
567;Tesla;53217
568;Jaguar;6991
569;Porsche;77335
570;Mercedes-Benz;63888
571;Kia;36916
572;Ford;71049
573;Subaru;65576
574;Land Rover;67431
575;Jeep;34755
576;Volkswagen;22780
577;Tesla;71534
578;BMW;31610
579;Mazda;16341
580;Tesla;64522
581;Volvo;20251
582;Audi;52283
583;Chevrolet;43806
584;Chevrolet;44238
585;Kia;50647
586;BMW;18983
587;Volkswagen;63924
588;Jeep;66033
589;Hyundai;28640
590;Toyota;79167
591;Honda;19209
592;Tesla;29716
593;Lexus;19376
594;Lexus;53822
595;Ford;76648
596;Porsche;38627
597;Volkswagen;59442
598;Subaru;51728
599;Land Rover;76556
600;Mazda;23024
601;Land Rover;5684
602;Chevrolet;28208
603;Mazda;45279
604;Kia;49922
605;Volkswagen;57398
606;Ford;25527
607;Jaguar;37844
608;Hyundai;66097
609;Jaguar;53095
610;Nissan;51767
611;Porsche;67938
612;Jeep;14509
613;Subaru;24761
614;Mercedes-Benz;65439
615;Chevrolet;71120
616;Lexus;71549
617;Ford;73778
618;Volkswagen;23116
619;Jaguar;51079
620;Audi;71900
621;Jeep;5029
622;Mazda;13862
623;Volkswagen;18232
624;Chevrolet;35249
625;Volvo;13451
626;Volvo;70006
627;Nissan;78818
628;Tesla;52438
629;Mazda;71342
630;Land Rover;53625
631;Volvo;49143
632;Porsche;58849
633;BMW;34986
634;Chevrolet;74947
635;BMW;78023
636;Jaguar;5877
637;Porsche;42382
638;Mercedes-Benz;64056
639;Subaru;17037
640;Honda;79265
641;Land Rover;21547
642;Honda;66139
643;BMW;68444
644;Hyundai;8985
645;Tesla;7616
646;Volkswagen;72067
647;Mazda;43807
648;Jaguar;12441
649;Lexus;18159
650;Nissan;8408
651;Volvo;64565
652;Honda;78631
653;Hyundai;43612
654;BMW;79095
655;Audi;17154
656;Nissan;20512
657;Nissan;66000
658;Toyota;63240
659;Mercedes-Benz;37330
660;Land Rover;37873
661;Toyota;61239
662;Subaru;64547
663;Volkswagen;24876
664;Mazda;63659
665;Honda;50666
666;Tesla;63831
667;Jeep;62705
668;BMW;44549
669;Lexus;37569
670;Mercedes-Benz;54851
671;Jeep;60074
672;Porsche;75811
673;Kia;46745
674;Subaru;62972
675;Audi;39557
676;Mercedes-Benz;59144
677;Honda;59062
678;Jaguar;74642
679;Volvo;76545
680;Chevrolet;70232
681;Tesla;72919
682;Lexus;28419
683;Audi;38725
684;Subaru;71452
685;BMW;66114
686;Porsche;33861
687;Volkswagen;41072
688;Volvo;12196
689;Chevrolet;66993
690;Jaguar;27946
691;Volvo;63834
692;Land Rover;26271
693;Ford;67867
694;Kia;76742
695;Porsche;66861
696;Jaguar;60746
697;Mazda;5295
698;Toyota;30646
699;Mercedes-Benz;64092
700;Ford;45119
701;Mercedes-Benz;46268
702;Nissan;67234
703;Ford;10253
704;Audi;23671
705;Nissan;72336
706;Jeep;7246
707;Lexus;26425
708;Kia;37365
709;Kia;44026
710;Tesla;50712
711;Land Rover;28396
712;Hyundai;35935
713;Lexus;63300
714;Land Rover;59931
715;Audi;74866
716;Jaguar;57716
717;BMW;35297
718;Subaru;11213
719;Hyundai;44985
720;Nissan;48224
721;Ford;35018
722;Subaru;19530
723;Kia;74881
724;Volkswagen;64979
725;Audi;11762
726;Audi;11584
727;BMW;15617
728;Kia;32039
729;Porsche;56088
730;Volkswagen;53329
731;Mazda;63828
732;Mazda;27252
733;Kia;17679
734;Hyundai;15432
735;Porsche;79514
736;Volvo;28252
737;Volvo;58098
738;Chevrolet;29554
739;Chevrolet;42861
740;Tesla;14129
741;Kia;25609
742;BMW;28764
743;Hyundai;68951
744;Honda;43479
745;Tesla;68745
746;Hyundai;27159
747;Jaguar;61971
748;Audi;26695
749;Audi;53399
750;Porsche;50298
751;Jeep;56811
752;Volvo;78073
753;Subaru;19573
754;Porsche;42459
755;Mazda;30818
756;Volvo;55554
757;Mazda;8150
758;Volkswagen;27343
759;Hyundai;42510
760;Jaguar;12941
761;Subaru;68293
762;Honda;7615
763;Volkswagen;55273
764;Mercedes-Benz;66097
765;Volvo;74353
766;Jeep;21967
767;Audi;31719
768;Land Rover;54417
769;Ford;75085
770;Volvo;37606
771;Land Rover;62591
772;Ford;45351
773;Subaru;52511
774;Lexus;12168
775;Tesla;46995
776;BMW;23991
777;BMW;38319
778;BMW;71097
779;Jaguar;44903
780;Lexus;25198
781;Mazda;10895
782;Jaguar;62729
783;Mazda;16302
784;Porsche;41994
785;Land Rover;34445
786;Ford;75775
787;Toyota;27410
788;Jeep;53815
789;Hyundai;16988
790;Honda;10566
791;Nissan;55244
792;Tesla;30280
793;Tesla;15810
794;Audi;73143
795;Ford;14953
796;Jaguar;50935
797;Volkswagen;7658
798;Volvo;48790
799;Toyota;7267
800;Chevrolet;41943
801;Land Rover;6883
802;Tesla;10839
803;Audi;14868
804;Toyota;52081
805;Lexus;68574
806;Porsche;52642
807;Volkswagen;17103
808;BMW;52765
809;Audi;52049
810;Ford;79503
811;Land Rover;66805
812;Kia;39280
813;Hyundai;57646
814;BMW;40676
815;Tesla;50236
816;Volkswagen;66020
817;Tesla;65786
818;BMW;78406
819;Volvo;72186
820;Subaru;59139
821;Nissan;46486
822;Honda;64763
823;Lexus;43625
824;Audi;78967
825;Land Rover;43610
826;Mercedes-Benz;33395
827;Nissan;41450
828;Volkswagen;75389
829;Chevrolet;7902
830;Jeep;37349
831;Volkswagen;51207
832;Chevrolet;19392
833;Jaguar;60843
834;Volvo;54932
835;BMW;69134
836;Kia;65048
837;Tesla;78615
838;Mercedes-Benz;67899
839;Lexus;57461
840;Audi;58362
841;Mercedes-Benz;77004
842;Volkswagen;72708
843;Volvo;6058
844;BMW;10171
845;Hyundai;16460
846;Mazda;51232
847;Lexus;29433
848;BMW;56702
849;Audi;13371
850;Jaguar;17768
851;Nissan;46905
852;Jeep;77877
853;Mercedes-Benz;10155
854;Toyota;73032
855;Mazda;63092
856;Honda;72518
857;BMW;13789
858;Ford;39331
859;Hyundai;65072
860;Jaguar;79664
861;Porsche;54034
862;Audi;60039
863;Ford;79310
864;Porsche;79413
865;Mazda;11400
866;Mercedes-Benz;24813
867;Land Rover;59429
868;Tesla;54471
869;Hyundai;12373
870;BMW;6961
871;Ford;39636
872;Jaguar;79796
873;Mercedes-Benz;6278
874;Volvo;78761
875;Lexus;21136
876;Honda;74755
877;Audi;69238
878;Subaru;35750
879;Kia;18628
880;BMW;38785
881;Ford;59834
882;Mercedes-Benz;57127
883;Lexus;15994
884;Jeep;35307
885;Nissan;5178
886;Nissan;23659
887;Audi;58385
888;Jeep;10518
889;Subaru;67311
890;Jeep;63076
891;BMW;58547
892;Land Rover;20942
893;Volvo;7202
894;Nissan;56002
895;Audi;8355
896;Volkswagen;28889
897;Volkswagen;7804
898;Chevrolet;59020
899;Volvo;13168
900;Porsche;31733
901;Ford;46554
902;Tesla;75441
903;Jaguar;50931
904;Mazda;52188
905;Volvo;55753
906;Chevrolet;56586
907;Lexus;27282
908;Volkswagen;34966
909;Volvo;32537
910;Tesla;62234
911;BMW;67235
912;BMW;44727
913;Honda;37289
914;Toyota;52982
915;Volkswagen;38996
916;Volvo;8361
917;Ford;63568
918;Hyundai;61839
919;Land Rover;76063
920;Volvo;76885
921;Volkswagen;76714
922;Porsche;43910
923;Mazda;76519
924;Mazda;74915
925;Nissan;26173
926;Audi;55583
927;Kia;67975
928;Ford;19992
929;Nissan;22187
930;Mercedes-Benz;33980
931;Jaguar;66087
932;Jaguar;69491
933;Jeep;24252
934;Mercedes-Benz;62971
935;Porsche;73497
936;Tesla;19807
937;Ford;27525
938;Tesla;33837
939;Porsche;32917
940;Land Rover;56487
941;Mazda;50233
942;BMW;56226
943;Ford;72896
944;Lexus;52722
945;Jaguar;29534
946;Ford;39591
947;Ford;15143
948;Mercedes-Benz;60203
949;Hyundai;52289
950;Nissan;22503
951;Jeep;30028
952;Nissan;63223
953;Subaru;44367
954;Porsche;5159
955;Lexus;69319
956;Volvo;35804
957;Kia;62906
958;Nissan;78079
959;Audi;62066
960;Jeep;74551
961;BMW;45433
962;BMW;14968
963;Porsche;35806
964;Land Rover;16055
965;Kia;69573
966;Jaguar;14544
967;Lexus;23747
968;Mercedes-Benz;15927
969;Hyundai;77881
970;Mazda;46705
971;Volvo;7977
972;Toyota;64945
973;Porsche;76796
974;Honda;31801
975;Toyota;64331
976;Kia;56905
977;Tesla;74251
978;Jaguar;48883
979;Jeep;20797
980;Porsche;17588
981;Lexus;46253
982;BMW;10234
983;Porsche;56165
984;Volvo;55976
985;Lexus;33521
986;Subaru;16441
987;Jeep;34490
988;Volvo;27416
989;Hyundai;19388
990;Jaguar;74370
991;Volvo;42386
992;Hyundai;67430
993;Honda;72082
994;Honda;16797
995;Lexus;45706
996;Honda;7676
997;Toyota;39630
998;Lexus;22347
999;Volkswagen;12256
1000;Tesla;40193
1001;Subaru;77406
1002;Jeep;20554
1003;Honda;76460
1004;Mercedes-Benz;41409
1005;Subaru;52468
1006;Volkswagen;67834
1007;Audi;14845
1008;Toyota;21482
1009;Chevrolet;17537
1010;Mercedes-Benz;67153
1011;Porsche;32103
1012;Jeep;59067
1013;Porsche;6941
1014;Kia;32670
1015;Volvo;39925
1016;Mercedes-Benz;9177
1017;Volkswagen;64227
1018;Tesla;45110
1019;Hyundai;52449
1020;Toyota;27761
1021;Chevrolet;47291
1022;Jeep;68953
1023;Chevrolet;32958
1024;Volkswagen;6870
1025;Volkswagen;70144
1026;Ford;27752
1027;Porsche;56881
1028;Kia;60679
1029;Jeep;79939
1030;Chevrolet;73273
1031;Mazda;73784
1032;Honda;46819
1033;Jeep;19785
1034;Honda;53273
1035;Hyundai;54769
1036;Tesla;23768
1037;Jeep;26005
1038;Lexus;34729
1039;Lexus;51461
1040;Honda;43146
1041;Volkswagen;32322
1042;Audi;43274
1043;Porsche;66844
1044;Mazda;32635
1045;Volkswagen;39012
1046;Mercedes-Benz;67096
1047;Tesla;48018
1048;Toyota;59164
1049;Mercedes-Benz;72904
1050;Jeep;33370
1051;Jeep;47874
1052;Jaguar;33161
1053;Chevrolet;21078
1054;Jaguar;52275
1055;Mazda;68596
1056;Land Rover;64048
1057;Lexus;12061
1058;Volvo;56148
1059;Toyota;39550
1060;Audi;68808
1061;Toyota;17862
1062;BMW;78496
1063;Volkswagen;68623
1064;Volvo;18798
1065;Subaru;29261
1066;Audi;40593
1067;Audi;71786
1068;Lexus;77949
1069;Chevrolet;62475
1070;Jeep;56592
1071;Kia;49844
1072;Ford;13718
1073;Lexus;58724
1074;Audi;20353
1075;Hyundai;6861
1076;Jeep;29343
1077;Honda;35113
1078;Honda;11261
1079;Mazda;15544
1080;Lexus;63301
1081;Ford;46656
1082;Subaru;50708
1083;Land Rover;27478
1084;Toyota;50791
1085;Porsche;16301
1086;Audi;50771
1087;Jaguar;42763
1088;Volvo;67831
1089;Mercedes-Benz;68511
1090;BMW;41264
1091;Subaru;23074
1092;Lexus;36047
1093;Kia;63607
1094;Ford;74379
1095;Tesla;58835
1096;Honda;68949
1097;Kia;9983
1098;Land Rover;46692
1099;Mazda;55556
1100;Toyota;42734
1101;Volvo;13142
1102;Tesla;75820
1103;Audi;60358
1104;Audi;55132
1105;Hyundai;54369
1106;Subaru;41904
1107;Toyota;29674
1108;Porsche;14330
1109;BMW;15566
1110;Tesla;66591
1111;Toyota;20648
1112;Kia;67917
1113;Toyota;5028
1114;BMW;45889
1115;Mercedes-Benz;40116
1116;Toyota;50046
1117;BMW;42479
1118;Porsche;25783
1119;Subaru;37063
1120;Tesla;54372
1121;Lexus;66368
1122;Kia;23343
1123;Kia;66160
1124;Toyota;72002
1125;Honda;44990
1126;Lexus;54976
1127;Toyota;44997
1128;Honda;7162
1129;BMW;60309
1130;Volvo;66042
1131;Hyundai;16047
1132;Land Rover;12807
1133;Nissan;51310
1134;Land Rover;43658
1135;Mazda;25425
1136;Volkswagen;64207
1137;Jeep;30729
1138;Porsche;35304
1139;Volvo;11635
1140;Tesla;25151
1141;Hyundai;43048
1142;Kia;72607
1143;Honda;67488
1144;Honda;58341
1145;Jeep;12543
1146;Volvo;15328
1147;Volvo;12497
1148;Mazda;37098
1149;Volvo;5436
1150;Mercedes-Benz;72367
1151;Hyundai;42494
1152;Jeep;57751
1153;Jeep;28165
1154;Porsche;33625
1155;Lexus;66361
1156;Mazda;75411
1157;Kia;32791
1158;Volvo;74790
1159;Subaru;78670
1160;Land Rover;30114
1161;Chevrolet;35206
1162;Lexus;58154
1163;Subaru;66653
1164;Jeep;60186
1165;Nissan;22889
1166;Toyota;72080
1167;Chevrolet;31806
1168;Porsche;79644
1169;Jeep;51878
1170;Volkswagen;56554
1171;Subaru;15334
1172;Jeep;65368
1173;BMW;14793
1174;Subaru;12107
1175;Kia;37610
1176;Lexus;5596
1177;BMW;61079
1178;Honda;77258
1179;Mercedes-Benz;54622
1180;BMW;60633
1181;BMW;39402
1182;Lexus;19419
1183;Mazda;18934
1184;Nissan;54375
1185;Tesla;7704
1186;Toyota;36701
1187;Mazda;10096
1188;Jeep;70230
1189;Tesla;39744
1190;Chevrolet;45089
1191;Land Rover;24390
1192;Hyundai;55697
1193;Mercedes-Benz;34931
1194;Jeep;22929
1195;Land Rover;45715
1196;Subaru;48729
1197;Volvo;19853
1198;Nissan;22089
1199;Nissan;22709
1200;Audi;50769
1201;Lexus;39503
1202;Mercedes-Benz;31688
1203;Ford;45247
1204;Chevrolet;54416
1205;Kia;17076
1206;Jeep;19539
1207;Lexus;54078
1208;Toyota;56977
1209;Tesla;69749
1210;Toyota;61474
1211;Porsche;51149
1212;Porsche;76359
1213;Volkswagen;40571
1214;Chevrolet;34646
1215;Nissan;75995
1216;Tesla;47628
1217;Land Rover;63560
1218;Kia;56491
1219;Audi;33119
1220;Kia;27318
1221;Volkswagen;75891
1222;Audi;70566
1223;Audi;65249
1224;Kia;45625
1225;Audi;56481
1226;BMW;70442
1227;Toyota;58632
1228;Chevrolet;35087
1229;Audi;40159
1230;Volvo;73960
1231;Kia;52733
1232;Audi;25762
1233;Subaru;43557
1234;Volvo;63963
1235;Chevrolet;45086
1236;Jaguar;25943
1237;Mercedes-Benz;60255
1238;Nissan;38152
1239;Subaru;60801
1240;Nissan;11108
1241;Porsche;79247
1242;Porsche;76542
1243;Land Rover;23188
1244;Subaru;25620
1245;Porsche;68927
1246;Subaru;57798
1247;Tesla;39371
1248;Jeep;71244
1249;Jaguar;44062
1250;Volvo;74165
1251;Porsche;40218
1252;BMW;31502
1253;Subaru;39627
1254;Tesla;71867
1255;Subaru;17500
1256;Tesla;61426
1257;Toyota;21535
1258;Jeep;5974
1259;Hyundai;25250
1260;Kia;25255
1261;Audi;47929
1262;Tesla;53083
1263;Tesla;28349
1264;Audi;58424
1265;Jeep;13963
1266;Honda;37283
1267;Ford;5075
1268;Tesla;53718
1269;BMW;49013
1270;Audi;41551
1271;Mercedes-Benz;59655
1272;Jeep;37173
1273;Audi;72790
1274;Jeep;73173
1275;Hyundai;18696
1276;Mazda;27237
1277;Toyota;56678
1278;Mazda;66800
1279;BMW;72082
1280;Land Rover;24237
1281;Toyota;74980
1282;Audi;9196
1283;Lexus;38848
1284;Subaru;66893
1285;Subaru;14409
1286;Tesla;71897
1287;Lexus;49421
1288;Jaguar;10522
1289;Lexus;50805
1290;Chevrolet;44840
1291;Land Rover;36199
1292;Nissan;60313
1293;Audi;27595
1294;Jeep;32690
1295;Jaguar;17582
1296;Lexus;36537
1297;Mazda;7303
1298;Mercedes-Benz;67748
1299;Jeep;77278
1300;Mercedes-Benz;66545
1301;Toyota;79748
1302;Land Rover;40780
1303;Volvo;28489
1304;Chevrolet;54368
1305;Volvo;33402
1306;BMW;20047
1307;Kia;47627
1308;Jaguar;11134
1309;Kia;14115
1310;Nissan;57385
1311;Kia;55796
1312;Hyundai;43654
1313;Honda;22302
1314;BMW;14072
1315;Jaguar;30124
1316;Toyota;58203
1317;Chevrolet;15501
1318;Nissan;46444
1319;Chevrolet;30160
1320;Nissan;17039
1321;Porsche;59886
1322;Kia;24062
1323;Volvo;75139
